Назва закладу	Адреса закладу	ПІБ керівника	Робочий телефон (моб.телефон)
Комунальний заклад "Центр первинної медико-санітарної допомоги №1 м.Кіровограда"	вул. Кропивницького, 22	Свириденко Лариса Анатоліївна	 
АЗПСМ № 1	вул. Габдрахманова, 5	Коваленко Поліна Романівна	33 20 06
АЗПСМ № 2	вул. Габдрахманова, 5	Козаченко Зінаїда Іванівна	33 20 06
АЗПСМ № 3	вул. Габдрахманова, 5	Гамальчук Микола Павлович	33 20 06
АЗПСМ № 4	вул. Короленко, 56	Тененик Людмила Пантеліївна	34 12 27
АЗПСМ № 5	вул. Кропивницького, 22	Шевчук Тетяна Іванівна	39 98 00
АЗПСМ № 6	вул. Кропивницького, 22	Загороднюк Тетяна Борисівна	39 98 78
АЗПСМ № 7	вул. Кропивницького, 22	Баранова Олена Євгенівна	22 95 88
АЗПСМ № 8	вул. Колгоспна, 71	Ляшко Тамара Іванівна	34 99 04
АЗПСМ № 9	вул. Шевченка, 36	Мельник Ігор Наркісович	
АЗПСМ № 10	вул. Шевченка, 36	Мороз Ольга Андріївна	
Комунальний заклад "Центр первинної медико-санітарної допомоги №2 м. Кіровограда"	вул. Космонавта Попова, 9-б	Златопольський Сергій Анатолійович	тел. 55-37-27
АЗПСМ № 1	вул. Космонавта Попова, 9-б	Філіпських Оксана Василівна	55 78 98
АЗПСМ № 2	вул. Космонавта Попова, 9-б	Чебан Любов Гнатівна	55 78 98
АЗПСМ № 3	вул. Космонавта Попова, 9-б	Заболотна Тетяна Михайлівна	55 52 89
АЗПСМ № 4	вул. Генерала Жадова, 21, к. 2	Пупань Надія Анатоліївна	55 75 72
АЗПСМ № 5	вул. Валентини Терешкової, 136	Балугланова Тетяна Леонідівна	55 78 57
АЗПСМ № 6	вул. Валентини Терешкової, 136	Кордонець Світлана Іванівна	56 79 86
АЗПСМ № 7	селище Нове, вул. Металургів, 25-а	Матієшин Олександр Миколайович	30 25 75
АЗПСМ № 8	Вул. Казанська, 12-а		
Комунальний заклад "Амбулаторія загальної-практики-сімейної медицини"	селище Гірни вул. Лінія 10 – а, буд. 61	Васецька Світлана Леонідівна	27 10 75
Комунальний заклад "Поліклінічне об"єднання м.Кіровограда"	вул. Габдрахманова, 5	Амбарна Олена Миколаївна	33 20 50
Поліклінічне відділення №1	вул. Габдрахманова, 5	Амбарна Олена Миколаївна	33 20 50
Поліклінічне відділення №2	вул. Валентини Терешкової, 136	Ковтонюк Андрій Анатолійович	 
Поліклінічне відділення №3 с.Нового	вул. Металургів, 25А	 	 
Поліклінічне відділення №4	вул. Короленка, 56	 	 
Поліклінічне відділення №5	вул. Космонавта Попова, 9-б	Рибак Інна Олександрівна	 
Міська стоматологічна поліклініка № 1 м. Кіровограда	вул. Шевченка, 36	Колесник Микола Прокопович	22 29 10
Стоматологічна поліклініка № 2 м. Кіровограда	Пр. Університетський, 29	Яровий Володимир Артемович	56 57 96
Дитяча стоматологічна поліклініка	вул. Жовтневої Революції, 31	Стіхарний Олег Петрович	24 94 84
Пологовий будинок № 1 м. Кіровограда	вул. Олени Журливої, 1	Сорокін Олександр Володимирович	34 57 70
Жіноча консультація №1	вул. Генерала Жадова, 21, к. 2	Заремба Галина Анатоліївна	38 10 21
Пологовий будинок № 2 ім. "Святої Анни"	вул. Щорса, 1	Капко Володимир Семенович	34 58 01
Жіноча консультація № 3	вул. Щорса, 1	Суліма Катерина Павлівна	34 58 97
Комунальний заклад "Центральна міська лікарня м. Кіровограда"	вул. Дворцова, 45/35	Артюх Олександр Іванович	24 44 66
Стаціонарне відділення № 2 комунального закладу "Центральна міська лікарня м. Кіровограда"
 	вул. Дворцова, 45/35	Артюх Олександр Іванович	24 44 66
Стаціонарне відділення № 1	Вул.. Фортеця, 21	Кабанчук Оксана Олександрівна	33 20 55
Поліклінічне відділення комунального закладу "Центральна міська лікарня м. Кіровограда"
 	вул. Кропивницького, 22	Голіков Валерій Михайлович	22 94 97
Дитяча міська поліклініка №1	Вул. Шевченка, 36	Макєєнко Микола Григорович	24 75 84
Кіровоградська дитяча міська лікарня	Пр. Університетський, 6	Клюєнко Оксана Анатоліївна	55 71 71
Комунальний заклад "Кіровоградська міська лікарня швидкої медичної допомоги"	вул. Короленка, 56	Скороход Валерій Семенович	34 11 12
